职位名,链接,公司,工作地点,薪资,经验,学历
python助教,http://jobs.51job.com/shenzhen/91840365.html?s=01&t=0,北京千锋互联科技有限公司,深圳,0.8-1万/月,,
python后端主程,http://jobs.51job.com/shanghai-jaq/89913386.html?s=01&t=0,上海东方网电子商务投资有限公司,上海-静安区,1-1.5万/月,3-4年经验,
Python工程师,http://jobs.51job.com/beijing-hdq/69758176.html?s=01&t=0,北京八维研修学院,北京-海淀区,1.5-2万/月,2年经验,本科
Python工程师,http://jobs.51job.com/shanghai-pdxq/89308459.html?s=01&t=0,上海思华科技股份有限公司,上海-浦东新区,1.2-2.4万/月,,本科
Python开发工程师,http://jobs.51job.com/suzhou-wzq/88702812.html?s=01&t=0,科沃斯商用机器人有限公司,苏州-吴中区,1-1.5万/月,2年经验,硕士
Python开发工程师,http://jobs.51job.com/chengdu/64144216.html?s=01&t=0,成都聚思力信息技术有限公司,成都,1-1.5万/月,2年经验,本科
生物信息工程师（python）,http://jobs.51job.com/shanghai-pdxq/91651391.html?s=01&t=0,上海伯豪生物技术有限公司,上海-浦东新区,6-8千/月,,本科
软件工程师 （python或C++）,http://jobs.51job.com/jiangsusheng/89782400.html?s=01&t=0,希捷国际科技（无锡）有限公司,异地招聘,0.5-1万/月,1年经验,本科
Python后台开发工程师,http://jobs.51job.com/chengdu/91321798.html?s=01&t=0,成都恒高科技有限公司,成都,0.8-1.2万/月,1年经验,本科
Python开发工程师,http://jobs.51job.com/shanghai-xhq/91263703.html?s=01&t=0,上海费芮网络科技有限公司,上海-徐汇区,,,大专
软件工程师（Python开发）,http://jobs.51job.com/shanghai-jaq/85457930.html?s=01&t=0,上海优帕克企业发展有限公司,上海-静安区,2-2.5万/月,,
python/Java 高级开发,http://jobs.51job.com/hangzhou/89745793.html?s=01&t=0,美国道富,杭州,1-2万/月,,本科
Python 后台工程师,http://jobs.51job.com/shanghai-pdxq/87031992.html?s=01&t=0,升宝节能技术（上海）有限公司,上海-浦东新区,0.7-1.2万/月,,
运维&Python开发助理人员,http://jobs.51job.com/harbin/90972519.html?s=01&t=0,黑龙江万通文化传媒有限公司,哈尔滨,4.5-6千/月,,高中
Python软件工程师,http://jobs.51job.com/shanghai-cnq/84272777.html?s=01&t=0,红晖企业管理咨询（上海）有限公司,上海-长宁区,1.5-2万/月,,大专
python开发工程师,http://jobs.51job.com/beijing-cyq/81619998.html?s=01&t=0,北京捷科智诚科技有限公司,北京-朝阳区,1-1.5万/月,2年经验,大专
数据分析与挖掘-python工程师-00410,http://jobs.51job.com/shanghai-jaq/91125026.html?s=01&t=0,卫宁健康科技集团股份有限公司,上海-静安区,1.5-2万/月,2年经验,本科
Python开发工程师,http://jobs.51job.com/shanghai-cnq/87556936.html?s=01&t=0,上海神州数码有限公司,上海-长宁区,,,
Python高级软件工程师,http://jobs.51job.com/shanghai-bsq/89975356.html?s=01&t=0,上海速飞智能科技有限公司,上海-宝山区,0.8-1万/月,2年经验,
PHP/Python ERP软件开发工程师,http://jobs.51job.com/guangzhou-thq/88656867.html?s=01&t=0,天意有福科技股份有限公司,广州-天河区,0.6-1万/月,2年经验,大专
测试开发工程师（Python）,http://jobs.51job.com/hangzhou-gsq/89144996.html?s=01&t=0,浙江威星智能仪表股份有限公司,杭州-拱墅区,0.8-1.2万/月,2年经验,本科
Python开发工程师,http://jobs.51job.com/fuzhou/89825905.html?s=01&t=0,福州网乐网络科技有限公司,异地招聘,6-8千/月,3-4年经验,大专
Python工程师,http://jobs.51job.com/shanghai-mhq/77883731.html?s=01&t=0,上海君是信息科技有限公司,上海-闵行区,6-8千/月,2年经验,大专
Python对日软件开发工程师,http://jobs.51job.com/overseas/83131982.html?s=01&t=0,阿富络希信息科技（济南）有限公司,异地招聘,1-2.5万/月,3-4年经验,本科
Python Engineer Python 开发工程师,http://jobs.51job.com/chengdu-jjq/58578618.html?s=01&t=0,四川摩奇信息技术有限公司,成都-锦江区,7-9千/月,1年经验,本科
Python人工智能,http://jobs.51job.com/shijiazhuang/91919974.html?s=01&t=0,河北奇酷信息技术有限公司,石家庄,6-8千/月,,大专
python开发工程师,http://jobs.51job.com/beijing-cyq/66839347.html?s=01&t=0,乐飞天下信息技术（北京）有限公司,北京-朝阳区,1-1.5万/月,3-4年经验,大专
Python数据开发工程师,http://jobs.51job.com/beijing-cyq/91298375.html?s=01&t=0,北京亿维鸿科技有限公司,北京-朝阳区,5-9千/月,无工作经验,大专
Python开发工程师,http://jobs.51job.com/shanghai-ptq/86200249.html?s=01&t=0,上海旺翔文化传媒股份有限公司,上海-普陀区,1.5-2万/月,,本科
Python开发工程师,http://jobs.51job.com/changsha-ylq/91091412.html?s=01&t=0,深圳市原形信息技术有限公司,长沙-岳麓区,6-8千/月,2年经验,本科
python课程总监/课程开发总监/研发总监,http://jobs.51job.com/shanghai-ptq/91157910.html?s=01&t=0,颐筠（上海）信息技术有限公司,上海-普陀区,1-2.5万/月,2年经验,本科
高级研发工程师-Java及Python,http://jobs.51job.com/beijing-cpq/91047081.html?s=01&t=0,中电长城网际系统应用有限公司,北京-昌平区,1-2万/月,,硕士
python爬虫工程师,http://jobs.51job.com/beijing-hdq/89469485.html?s=01&t=0,北京点智互动信息技术有限公司,北京-海淀区,0.8-1.6万/月,,本科
python开发工程师,http://jobs.51job.com/shenzhen-nsq/74345847.html?s=01&t=0,深圳市正易龙科技有限公司,深圳-南山区,1-1.9万/月,2年经验,大专
Python工程师,http://jobs.51job.com/shanghai/78533782.html?s=01&t=0,上海浦东软件园汇智软件发展有限公司,上海,1-1.5万/月,1年经验,中专
Python开发工程师,http://jobs.51job.com/shanghai-mhq/91864116.html?s=01&t=0,上海果雪信息科技有限公司,上海-闵行区,1.5-2万/月,,本科
Python/Django开发工程师,http://jobs.51job.com/ningbo-yzq/90895016.html?s=01&t=0,浙江找饭金融信息服务有限公司,宁波-鄞州区,0.6-1万/月,2年经验,大专
Python数据挖掘工程师,http://jobs.51job.com/shenzhen-ftq/81620239.html?s=01&t=0,深圳华策辉弘科技有限公司,深圳-福田区,1-1.5万/月,1年经验,
python工程师（成都）,http://jobs.51job.com/chengdu/88035454.html?s=01&t=0,杭州安恒信息技术有限公司,成都,0.8-1.5万/月,,本科
Python web应用开发程序员,http://jobs.51job.com/wuhan-wcq/88967043.html?s=01&t=0,北京江民新科技术有限公司,武汉-武昌区,0.8-1.2万/月,,
Python开发工程师,http://jobs.51job.com/fuzhou/87049424.html?s=01&t=0,北京新大陆时代教育科技有限公司,福州,6-8千/月,,本科
Python开发工程师,http://jobs.51job.com/shenzhen-nsq/88652246.html?s=01&t=0,深圳市富士智能系统有限公司,深圳-南山区,1-1.5万/月,,本科
高级PHP开发工程师（需懂些Python）,http://jobs.51job.com/shanghai/85137438.html?s=01&t=0,上海好体信息科技有限公司,上海,1.5-2.5万/月,3-4年经验,本科
Python高级软件工程师,http://jobs.51job.com/xian-gxjs/90528902.html?s=01&t=0,北京优诺信创科技有限公司,西安-高新技术...,0.8-1.5万/月,2年经验,硕士
Python开发工程师,http://jobs.51job.com/nanjing-jyq/91814046.html?s=01&t=0,南京图慧信息技术有限公司,南京-建邺区,0.7-1.3万/月,1年经验,大专
python开发工程师,http://jobs.51job.com/wuhan-hyq/89430116.html?s=01&t=0,武汉邻盛智能设备有限公司,武汉-汉阳区,6-8千/月,1年经验,
PHP/Python开发工程师,http://jobs.51job.com/wuxi/83288126.html?s=01&t=0,无锡新游网络科技有限公司,无锡,1-1.5万/月,1年经验,大专
Python开发工程师,http://jobs.51job.com/shanghai/88621984.html?s=01&t=0,上海崇杏健康管理咨询有限公司,上海,1-1.5万/月,1年经验,本科
Python研发工程师,http://jobs.51job.com/shenzhen-nsq/88210309.html?s=01&t=0,深圳市青柏信息科技有限公司,深圳-南山区,1-2万/月,2年经验,本科
大数据应用开发（python）,http://jobs.51job.com/shanghai-xhq/91914392.html?s=01&t=0,上海拿米金融信息服务有限公司,上海-徐汇区,1.5-3万/月,3-4年经验,大专
技术支持工程师（Python软件运维）,http://jobs.51job.com/beijing-hdq/87080581.html?s=01&t=0,北京普瑞亿科科技有限公司,北京-海淀区,6-8千/月,,本科
Python高级软件工程师,http://jobs.51job.com/suzhou/91592266.html?s=01&t=0,图玛深维医疗科技（苏州）有限公司,苏州,1.5-2万/月,,本科
Python运维开发工程师,http://jobs.51job.com/shenzhen-nsq/77735062.html?s=01&t=0,深圳车涯互动科技有限公司,深圳-南山区,1-1.5万/月,3-4年经验,大专
（vmware）Python开发工程师,http://jobs.51job.com/beijing-hdq/73735730.html?s=01&t=0,迪原创新（北京）科技有限公司,北京-海淀区,1-1.5万/月,2年经验,本科
Python开发工程师,http://jobs.51job.com/beijing-cyq/89303169.html?s=01&t=0,联合永道（上海）信息技术有限公司,北京-朝阳区,0.8-1.5万/月,,
python开发工程师,http://jobs.51job.com/chengdu/80726544.html?s=01&t=0,北京晟元亿讯科技有限公司,成都,4-7千/月,1年经验,大专
高级Python开发工程师（产品开发）,http://jobs.51job.com/shanghai-ptq/85538413.html?s=01&t=0,翔傲信息科技（上海）有限公司,上海-普陀区,1.5-2万/月,5-7年经验,
Python开发（数据分析方向）,http://jobs.51job.com/chengdu/91504930.html?s=01&t=0,深圳市律溶软件开发有限公司,成都,4-6千/月,,
Python工程师,http://jobs.51job.com/shenzhen-nsq/78682141.html?s=01&t=0,深圳爱财科技有限公司,深圳-南山区,1.5-2.5万/月,5-7年经验,本科
Python+MySQL 后台开发工程师,http://jobs.51job.com/shenzhen-lhxq/83429787.html?s=01&t=0,富士康科技集团CNSBG事业群,深圳-龙华新区,0.6-2万/月,1年经验,大专
Python开发工程师,http://jobs.51job.com/shenzhen-nsq/89742695.html?s=01&t=0,深圳羚羊极速科技有限公司,深圳-南山区,1.3-2.5万/月,3-4年经验,本科
python/odoo开发,http://jobs.51job.com/shanghai-pdxq/84933385.html?s=01&t=0,乐屋（上海）电子商务有限公司,上海-浦东新区,1-2万/月,,
Python开发工程师,http://jobs.51job.com/guangzhou-pyq/91897025.html?s=01&t=0,广州人人科技有限公司,广州-番禺区,0.5-1.5万/月,2年经验,
python开发/数据分析方向(年前急聘）,http://jobs.51job.com/zhengzhou/84870965.html?s=01&t=0,郑州速龙信息技术有限公司,郑州,4.5-6千/月,,大专
高级 Python 工程师,http://jobs.51job.com/shanghai-mhq/88420492.html?s=01&t=0,趣送信息技术（上海）有限公司,上海-闵行区,1.5-2万/月,3-4年经验,本科
python开发工程师,http://jobs.51job.com/dongguan/78265453.html?s=01&t=0,国云科技股份有限公司,异地招聘,1-1.5万/月,3-4年经验,
Python高级软件工程师,http://jobs.51job.com/guangzhou-thq/89142700.html?s=01&t=0,广州英荔教育科技有限公司,广州-天河区,0.9-1.3万/月,3-4年经验,本科
Django / Python 开发工程师,http://jobs.51job.com/guangzhou-hzq/87197841.html?s=01&t=0,广州城北信息科技有限公司,广州-海珠区,4.5-6千/月,2年经验,大专
Python高级研发工程师,http://jobs.51job.com/beijing-hdq/91059340.html?s=01&t=0,北京风行在线技术有限公司,北京-海淀区,1.5-2万/月,,本科
python开发工程师,http://jobs.51job.com/chengdu-gxq/82359356.html?s=01&t=0,成都博恩电科信息科技有限公司,成都-高新区,0.6-1万/月,1年经验,大专
python研发工程师,http://jobs.51job.com/chongqing-ybq/75914790.html?s=01&t=0,重庆维普资讯有限公司,重庆-渝北区,4-7千/月,1年经验,本科
Python中级开发工程师,http://jobs.51job.com/guangzhou-thq/89107575.html?s=01&t=0,广州世安信息技术有限公司,广州-天河区,1.2-1.5万/月,3-4年经验,本科
python工程师,http://jobs.51job.com/chengdu/82475150.html?s=01&t=0,高伟达软件股份有限公司,成都,1-1.5万/月,3-4年经验,大专
Python开发工程师,http://jobs.51job.com/shanghai-cnq/87896446.html?s=01&t=0,再惠（上海）网络科技有限公司,上海-长宁区,1.8-3.5万/月,,本科
高级软件工程师-开发支付系统PMTS控制台（Python）,http://jobs.51job.com/beijing/91208910.html?s=01&t=0,北京金电恒通科技有限公司,北京,1.5-2万/月,3-4年经验,本科
python工程师,http://jobs.51job.com/chongqing-ybq/86222854.html?s=01&t=0,重庆米虫科技有限公司,重庆-渝北区,0.7-1.2万/月,,
Python开发工程师,http://jobs.51job.com/tianjin-hxq/87719436.html?s=01&t=0,上海敬庸信息科技有限公司,天津-河西区,1-2万/月,3-4年经验,大专
python工程师（网络安全）,http://jobs.51job.com/shanghai-xhq/84897675.html?s=01&t=0,红倍心（福建）生物科技有限公司上海分公司,上海-徐汇区,1.5-2万/月,3-4年经验,大专
Python 开发工程师,http://jobs.51job.com/zhuhai-xzq/69898106.html?s=01&t=0,珠海轼域网络科技有限公司,珠海-香洲区,0.8-2万/月,2年经验,大专
Python开发工程师,http://jobs.51job.com/shenzhen-ftq/86602533.html?s=01&t=0,深圳市博奥特科技有限公司,深圳-福田区,1.5-2万/月,,
Python开发工程师,http://jobs.51job.com/chengdu-gxq/88948147.html?s=01&t=0,成都砰砰网络科技有限责任公司,成都-高新区,5-7千/月,无工作经验,大专
python软件开发工程师,http://jobs.51job.com/wuhan/71286266.html?s=01&t=0,武汉旷腾信息技术有限公司,武汉,10-15万/年,2年经验,本科
Python运维开发工程师,http://jobs.51job.com/shanghai/91244474.html?s=01&t=0,上海宝尊电子商务有限公司,上海,1-2万/月,2年经验,大专
Python高级开发工程师,http://jobs.51job.com/beijing/90707068.html?s=01&t=0,杭州东信北邮信息技术有限公司,北京,1-1.5万/月,2年经验,本科
Python开发工程师（实习生）,http://jobs.51job.com/shenzhen-lgq/90809837.html?s=01&t=0,深圳市猎芯科技有限公司,深圳-龙岗区,3-5千/月,,大专
Python Developer,http://jobs.51job.com/shanghai-pdxq/81827880.html?s=01&t=0,上海毕波软件信息技术有限公司,上海-浦东新区,1.5-2万/月,,本科
PHP开发组长/python开发,http://jobs.51job.com/guangzhou-yxq/84850028.html?s=01&t=0,广东任玩传媒股份有限公司,广州-越秀区,1.2-2万/月,3-4年经验,
Web后端开发工程师（PHP或Python程序员）,http://jobs.51job.com/kunming-whq/82260122.html?s=01&t=0,昆明微想智森科技股份有限公司,昆明-五华区,6-9千/月,,本科
Python服务器工程师-小米电视,http://jobs.51job.com/beijing-hdq/86082573.html?s=01&t=0,北京小米数码科技有限公司,北京-海淀区,2-3万/月,,
C#&Python英语需求分析开发师,http://jobs.51job.com/shanghai/90427119.html?s=01&t=0,易唯思商务咨询（上海）有限公司,上海,0.8-1万/月,无工作经验,本科
Python开发工程师,http://jobs.51job.com/guangzhou/89522192.html?s=01&t=0,广州鑫尼网络科技有限公司,广州,0.7-1万/月,1年经验,大专
Python开发工程师,http://jobs.51job.com/shanghai-jaq/91387124.html?s=01&t=0,上海量锐信息科技有限公司,上海-静安区,0.8-1.2万/月,,
Python开发工程师,http://jobs.51job.com/shanghai-hpq/87847467.html?s=01&t=0,钱咖网络科技（上海）有限公司,上海-黄浦区,1.2-1.8万/月,3-4年经验,
Python后台开发工程师,http://jobs.51job.com/dongguan-sshq/86786751.html?s=01&t=0,东莞松山湖国际机器人研究院有限公司,东莞-松山湖区,0.8-1万/月,,本科
Python开发工程师,http://creditease.51job.com/sc/show_job_detail.php?jobid=90095124,宜信公司,北京-朝阳区,1.5-2.5万/月,,
python工程师,http://jobs.51job.com/beijing-cyq/90263191.html?s=01&t=0,完美世界（北京）总部/完美时空,北京-朝阳区,1.5-2万/月,,本科
python开发工程师(J14411),http://jobs.51job.com/hangzhou/82955211.html?s=01&t=0,吉利集团（易云信息化公司）,杭州,1-1.5万/月,,
Python Web产品开发工程师,http://jobs.51job.com/guangzhou/85264305.html?s=01&t=0,广州商脉网络科技有限公司,广州,0.8-1.5万/月,3-4年经验,本科
Python高级开发工程师,http://jobs.51job.com/shanghai-qpq/91913502.html?s=01&t=0,上海随求网络科技有限公司,上海-青浦区,0.7-1.5万/月,,本科
Python开发工程师,http://jobs.51job.com/shanghai-xhq/91912055.html?s=01&t=0,北明软件有限公司,上海-徐汇区,1-2万/月,2年经验,本科
python开发工程师,http://jobs.51job.com/shenzhen-lhxq/91900350.html?s=01&t=0,深圳大懂网络科技有限公司,深圳-龙华新区,6-8千/月,2年经验,大专
Python开发工程师,http://jobs.51job.com/nanjing-glq/88531201.html?s=01&t=0,麦子学院,南京-鼓楼区,4.5-6千/月,无工作经验,大专
Python开发,http://jobs.51job.com/beijing-hdq/64009314.html?s=01&t=0,北京简单科技有限公司（简单学习网）,北京-海淀区,1.5-2万/月,3-4年经验,大专
后端开发工程师（Python方向）,http://jobs.51job.com/guangzhou-hzq/88029561.html?s=01&t=0,广州新的美地电子科技有限公司,广州-海珠区,1.5-2.5万/月,5-7年经验,
python工程师,http://jobs.51job.com/shanghai-pdxq/67675649.html?s=01&t=0,上海锐赢信息技术有限公司,上海-浦东新区,0.8-1.5万/月,2年经验,大专
Python研发工程师,http://jobs.51job.com/shenzhen-nsq/90871119.html?s=01&t=0,深圳开黑科技有限公司,深圳-南山区,1-2万/月,3-4年经验,大专
python爬虫工程师,http://jobs.51job.com/shenzhen-ftq/91729566.html?s=01&t=0,深圳市诚一贸易有限公司,深圳-福田区,0.8-1.2万/月,,
python工程师,http://jobs.51job.com/shanghai-pdxq/78702480.html?s=01&t=0,上海云逐信息技术有限公司,上海-浦东新区,0.8-1.5万/月,2年经验,大专
Python PyQt开发工程师,http://jobs.51job.com/shanghai-mhq/90625860.html?s=01&t=0,上海卓盟信息科技有限公司,上海-闵行区,0.6-1.2万/月,2年经验,
（经验不限）python工程师助理/python开发实习生,http://jobs.51job.com/suzhou/88588816.html?s=01&t=0,软世通集团苏州分公司,苏州,4.5-6千/月,,大专
python工程师助理/python开发学徒/python程序员,http://jobs.51job.com/suzhou-gsq/87517426.html?s=01&t=0,苏州学码思科技有限公司,苏州-姑苏区,4.5-6千/月,,大专
五年以上经验-python项目经理,http://jobs.51job.com/beijing-sjsq/91139076.html?s=01&t=0,北京乐可威信息技术有限公司,北京-石景山区,2.5-3万/月,,
Python工程师,http://jobs.51job.com/ningbo/84374140.html?s=01&t=0,乐歌人体工学科技股份有限公司,宁波,0.7-1.4万/月,,
Python开发工程师,http://jobs.51job.com/guangzhou-byq/87474337.html?s=01&t=0,广州龙骐贸易有限公司,广州-白云区,1-1.5万/月,,大专
Python工程师（finance data analysis）,http://jobs.51job.com/shanghai-pdxq/91860982.html?s=01&t=0,普华永道信息技术（上海）有限公司,上海-浦东新区,1.3-1.8万/月,,本科
Python开发,http://jobs.51job.com/shanghai/84077831.html?s=01&t=0,文思海辉技术有限公司Pactera Technology International Limited,上海,1.5-2万/月,1年经验,大专
Python 中级工程师,http://jobs.51job.com/chengdu/91868955.html?s=01&t=0,四川钱坤信息技术有限公司,成都,0.8-1万/月,3-4年经验,本科
高薪诚聘Python研发,http://jobs.51job.com/ningbo/83205461.html?s=01&t=0,宁波新希望信息技术有限公司,宁波,0.8-1万/月,2年经验,本科
Python高级开发工程师,http://jobs.51job.com/beijing-dcq/87245348.html?s=01&t=0,比尔信息技术（北京）有限公司,北京-东城区,1-1.5万/月,3-4年经验,
Python工程师,http://jobs.51job.com/guangzhou-thq/87591079.html?s=01&t=0,广州中康资讯股份有限公司,广州-天河区,0.7-1万/月,1年经验,本科
Python开发工程师,http://jobs.51job.com/beijing/88092998.html?s=01&t=0,奇虎360科技有限公司,北京,,3-4年经验,本科
Python 中级开发工程师,http://jobs.51job.com/shanghai/86741509.html?s=01&t=0,上海旺旺食品集团有限公司,上海,0.8-1.5万/月,1年经验,大专
python开发实习生,http://jobs.51job.com/chengdu/91831203.html?s=01&t=0,大连聚佳信息技术有限公司,成都,3-4千/月,,
Python爬虫开发工程师,http://jobs.51job.com/chengdu-whq/88007506.html?s=01&t=0,成都易屋之家科技有限公司,成都-武侯区,0.8-1.5万/月,3-4年经验,大专
Python 软件工程师,http://jobs.51job.com/shanghai-pdxq/89596418.html?s=01&t=0,上海领旗信息科技有限公司,上海-浦东新区,1-1.5万/月,,大专
Python工程师,http://jobs.51job.com/shanghai/76454223.html?s=01&t=0,上海德必文化创意产业发展（集团）有限公司,上海,1.5-2.5万/月,3-4年经验,本科
上海Python工程师-真格基金投资企业IMIO,http://jobs.51job.com/beijing/84372741.html?s=01&t=0,北京真之聘管理咨询有限公司,北京,1-2万/月,2年经验,
Python开发工程师,http://jobs.51job.com/shanghai/90938534.html?s=01&t=0,上海奥意特信息科技有限公司,上海,0.9-1.6万/月,2年经验,大专
Python开发助理/实习生     项目奖+提成,http://jobs.51job.com/shaanxisheng/89881899.html?s=01&t=0,西安蓝峰企业管理服务有限公司,异地招聘,4.5-6千/月,无工作经验,大专
2017届夏季补招岗-python软件开发实习生（云计算）,http://jobs.51job.com/xian/91482514.html?s=01&t=0,西安中软卓越信息技术有限公司,西安,4.5-6千/月,,大专
Python,http://jobs.51job.com/beijing-ftq/82824658.html?s=01&t=0,首页大数据科技股份有限公司,北京-丰台区,0.6-1万/月,,
Python开发工程师,http://jobs.51job.com/beijing-hdq/81983955.html?s=01&t=0,众信云（北京）科技发展有限公司,北京-海淀区,1-1.5万/月,,本科
Python开发工程师,http://jobs.51job.com/hangzhou/67843710.html?s=01&t=0,杭州渥迩图科技有限公司,杭州,1-1.5万/月,,本科
Python开发工程师,http://jobs.51job.com/shenzhen/91164220.html?s=01&t=0,成都迈思信息技术有限公司,深圳,1.5-2万/月,5-7年经验,大专
Python开发工程师,http://jobs.51job.com/wuhan-hyq/88965926.html?s=01&t=0,武汉艾利英科网络科技有限公司,武汉-汉阳区,0.6-1.2万/月,,
Python开发工程师,http://jobs.51job.com/guangzhou/71717870.html?s=01&t=0,广州宝巨信息技术有限公司,广州,0.6-1万/月,2年经验,大专
Python 开发工程师,http://jobs.51job.com/fuzhou/84740166.html?s=01&t=0,福建英迈软件有限公司,福州,0.5-1.2万/月,,
Golang/Python开发工程师,http://jobs.51job.com/jinshuiqu/82293680.html?s=01&t=0,河南省鑫山实业发展有限公司,郑州-金水区,0.6-1万/月,,本科
Python开发工程师,http://jobs.51job.com/shenzhen-lhq/88452003.html?s=01&t=0,深圳众禄金融控股股份有限公司,深圳-罗湖区,1.8-2.5万/月,2年经验,
python开发工程师-西二旗-wx-841,http://jobs.51job.com/beijing-hdq/91854879.html?s=01&t=0,北京联想利泰软件有限公司,北京-海淀区,1-1.5万/月,1年经验,本科
Python工程师,http://jobs.51job.com/shenzhen/91844596.html?s=01&t=0,深圳市长亮科技股份有限公司,深圳,0.8-1.2万/月,2年经验,本科
Python开发（爬虫）,http://jobs.51job.com/shanghai/91836588.html?s=01&t=0,上海源企金融信息服务有限公司,上海,0.8-1.2万/月,1年经验,
Python高级开发工程师,http://jobs.51job.com/shanghai-pdxq/90293570.html?s=01&t=0,东吴在线（上海）金融信息服务有限公司,上海-浦东新区,1.5-3万/月,3-4年经验,本科
Python高级开发工程师,http://jobs.51job.com/guangzhou-thq/90879177.html?s=01&t=0,广东龙锦网络科技有限公司,广州-天河区,4.5-6千/月,2年经验,大专
Python/OpenERP,http://jobs.51job.com/shanghai-jaq/91601962.html?s=01&t=0,上海景鹄集团有限公司,上海-静安区,1.5-2万/月,,
python 开发工程师,http://jobs.51job.com/shanghai-ptq/80230774.html?s=01&t=0,盘石软件（上海）有限公司,上海-普陀区,0.6-1.5万/月,1年经验,本科
Python Dev.,http://jobs.51job.com/shanghai/90137659.html?s=01&t=0,瞬联软件科技（北京）有限公司 CIeNET Technologies,上海,0.9-1.7万/月,,
游戏运维工程师-python,http://jobs.51job.com/guangzhou-thq/83386033.html?s=01&t=0,广州光娱信息科技有限公司,广州-天河区,0.8-1万/月,1年经验,
Python工程师,http://jobs.51job.com/xian/80089578.html?s=01&t=0,北京易讯通信息技术股份有限公司,西安,1-1.5万/月,,
Python开发工程师,http://jobs.51job.com/hangzhou/88900476.html?s=01&t=0,杭州锐翌基因技术有限公司,杭州,0.8-1.2万/月,1年经验,本科
Python高级开发工程师,http://jobs.51job.com/shanghai-pdxq/90993555.html?s=01&t=0,平纳科（上海）信息咨询有限公司,上海-浦东新区,1.8-3万/月,2年经验,本科
棋牌开发python程序员欢迎优秀应届生,http://jobs.51job.com/guangzhou-lwq/91169683.html?s=01&t=0,广州领斐信息科技有限公司,广州-荔湾区,6-8千/月,无工作经验,大专
Python开发工程师,http://jobs.51job.com/beijing/82054809.html?s=01&t=0,北京市博汇科技股份有限公司,北京,0.7-1.3万/月,,本科
Python程序员,http://jobs.51job.com/zhengzhou-jkq/83774020.html?s=01&t=0,郑州孜晗软件科技有限公司,郑州-经开区,3-6千/月,无工作经验,
Python开发工程师,http://jobs.51job.com/chengdu-gxq/87666765.html?s=01&t=0,北京百联力创信息技术有限公司,成都-高新区,0.6-1.2万/月,,
Python后端工程师,http://jobs.51job.com/wuhan-jhq/91546411.html?s=01&t=0,武汉灵山科技有限公司,武汉-江汉区,1-1.5万/月,3-4年经验,大专
CXWG-后端开发工程师（Python）,http://jobs.51job.com/guangzhou-thq/90991956.html?s=01&t=0,广州酷狗计算机科技有限公司,广州-天河区,1.2-2.4万/月,3-4年经验,本科
python工程师,http://jobs.51job.com/shenzhen-lgq/88112944.html?s=01&t=0,深圳市中企工联保家电服务有限公司,深圳-龙岗区,0.5-1万/月,1年经验,本科
Python开发工程师,http://jobs.51job.com/beijing-hdq/87245543.html?s=01&t=0,高升控股股份有限公司,北京-海淀区,1-1.5万/月,2年经验,大专
Python工程师,http://jobs.51job.com/beijing/71880929.html?s=01&t=0,中讯志远（武汉）科技有限公司,北京,0.6-1.2万/月,,
Python开发工程师,http://jobs.51job.com/beijing/90213490.html?s=01&t=0,北京超图软件股份有限公司,北京,0.8-1万/月,,本科
Web 开发工程师 - Python,http://jobs.51job.com/shanghai/88585997.html?s=01&t=0,怡安翰威特咨询（上海）有限公司,上海,1.5-2万/月,2年经验,本科
软件开发工程师——python/java方向,http://jobs.51job.com/shenyang-hpq/82753946.html?s=01&t=0,百度沈阳地区营销服务中心,沈阳-和平区,3-5千/月,,本科
Python大数据开发工程师,http://jobs.51job.com/hangzhou-bjq/74701988.html?s=01&t=0,杭州合众数据技术有限公司,杭州-滨江区,1-3万/月,2年经验,
Python高级开发工程师,http://jobs.51job.com/guangzhou-thq/90503409.html?s=01&t=0,乐至（上海）科技有限公司,广州-天河区,2-3千/月,,
Python开发工程师,http://jobs.51job.com/beijing-cyq/91442305.html?s=01&t=0,北京微迅联创科技有限公司,北京-朝阳区,0.8-1.5万/月,2年经验,大专
Python开发工程师,http://jobs.51job.com/hangzhou-xhq/89484113.html?s=01&t=0,杭州数美科技有限公司,杭州-西湖区,0.7-1.4万/月,1年经验,大专
Python开发工程师,http://jobs.51job.com/hangzhou-xsq/77713555.html?s=01&t=0,杭州国辰机器人科技有限公司,杭州-萧山区,12-20万/年,,本科
Python开发工程师,http://jobs.51job.com/hangzhou/91125992.html?s=01&t=0,杭州纳帕科技有限公司,杭州,0.8-1.5万/月,,
OpenERP/Odoo python开发工程师,http://jobs.51job.com/chengdu/90610544.html?s=01&t=0,成都天府新区人力资源开发服务有限公司,成都,1-1.4万/月,2年经验,本科
Python开发工程师,http://jobs.51job.com/nanjing-jnq/91355381.html?s=01&t=0,易虎网科技南京股份有限公司,南京-江宁区,1-1.5万/月,,
Python开发工程师,http://jobs.51job.com/shanghai-xhq/70100126.html?s=01&t=0,北京众标智能科技有限公司,上海-徐汇区,1-1.5万/月,1年经验,大专
Python爬虫开发工程师,http://jobs.51job.com/shanghai-ypq/84194906.html?s=01&t=0,上海霄骋信息科技有限公司,上海-杨浦区,1.5-3万/月,5-7年经验,本科
资深Python后端开发/架构师,http://jobs.51job.com/shanghai-ypq/81825662.html?s=01&t=0,上海复展智能科技股份有限公司,上海-杨浦区,2-5万/月,5-7年经验,本科
