标题,租金,房型,租赁方式,装修,区域1,区域2,面积,朝向,住宅类型,小区名,地址,年代,容积率,绿化率,链接
晓东甄选：专全上海汤臣一品丨四季汇丨国金汇丨滨江凯旋门,50000,3室2厅3卫,整租,豪华装修,浦东新区,陆家嘴,300平米,东西,公寓,中粮海景壹号,银城中路600弄1-10号                                                    ,2010年,4,51%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082818661
东鼎名人府靠中央公园景观房，豪华装修大三房，家具家电可以配,7000,3室2厅2卫,整租,豪华装修,松江区,松江新城,184平米,南北,普通住宅,东鼎名人府邸,滨湖路310弄                                                    ,2013年,3.85,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086069580
交通便利+花园式国际大型社区+全新豪装豪配+高区俯瞰全港汇,17000,3室2厅2卫,整租,豪华装修,徐汇区,徐家汇,170平米,东南,普通住宅,东方曼哈顿世纪豪庭,虹桥路168号                                                    ,2001年,4,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085995480
近八号线地铁口，房东以前自住，要求爱干净，家具家电全配,4000,2室1厅1卫,整租,精装修,杨浦区,杨浦公园,60平米,南,普通住宅,东方名园,延吉中路555弄                                                    ,2003年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085859772
打浦桥+时尚现代(带地暖+进口配置)采光很棒+车位+生活便利,10000,3室2厅2卫,整租,豪华装修,黄浦区,打浦桥,156平米,南,公寓,德玛公寓,肇嘉浜路188弄                                                    ,2006年,3.4,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085558932
真实图片 真实房源  地铁1，10，12号线  边套全明带南,7500,2室1厅1卫,整租,精装修,徐汇区,衡山路,75平米,南,普通住宅,复兴中路1350弄小区,复兴中路1350弄                                                    ,1998年,1.4,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085473432
绿地云天坊 精装一居室 九号线泗泾 环境温馨舒适,2250,1室1厅1卫,整租,精装修,松江区,泗泾,43平米,南,普通住宅,绿地云天坊,外婆泾路455弄                                                    ,2016年,2.97,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085127070
三房，真实照片，如有虚假，请投诉，（免服务费）,16500,3室2厅1卫,整租,简单装修,长宁区,天山,148平米,南北,普通住宅,天山河畔花园,水城路883弄                                                    ,2005年,2.5,52%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084967038
大主卧出租来电立减精装月付无中介随时入住独立卫浴紧邻地铁,2100,3室1厅1卫,整租,精装修,徐汇区,徐家汇,23平米,南,普通住宅,汇金广场(A座),肇嘉浜路988号                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084288804
整租+付一押一+房东急租+带固定车位+精装修+家具家电全配,2500,1室1厅1卫,整租,精装修,杨浦区,中原,40平米,南,普通住宅,长海二村,长海二村                                                    ,1992年,1.1,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085800107
室内干净整洁，设施齐全，出行便利，可拎包入住,3500,1室2厅1卫,整租,中等装修,普陀区,光新,45平米,南,公寓,秋月枫舍(一期),镇坪路177弄                                                    ,2004年,3.1,41%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085034729
万体馆旁精装一房、紧邻天华科技园、日月光、近地铁1、3、12,3300,1室1厅1卫,整租,精装修,徐汇区,龙华,40平米,南,普通住宅,漕溪四村,田东路66弄                                                    ,1986年,1.9,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083862155
近13号线 精装修 人车分流 停车方便 小区环境好 采光好,7600,1室2厅1卫,整租,豪华装修,普陀区,长寿,79平米,南,公寓,上海苏堤春晓名苑,长寿路800弄                                                    ,2006年,3,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083809883
12号线地铁100米+精装修+配置齐全+拎包入住 随时可看,4000,2室1厅1卫,整租,精装修,杨浦区,平凉路,48平米,南北,普通住宅,明园村小区,长阳路910弄                                                    ,2000年,1.8,25%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1082565075
房子刚刚挂牌，宜家风格精装全配，紧靠剑川路地铁站，临近欧尚！,3200,2室2厅1卫,整租,精装修,闵行区,老闵行,80平米,南北,普通住宅,畅馨园,凤庆路58弄                                                    ,2006年,1.49,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082290089
我是小区专家 精耕华沁华滨家园 近周边学校 拎包入住 可长签,5500,2室2厅1卫,整租,精装修,徐汇区,长桥,90平米,南,普通住宅,华沁家园,龙吴路1343弄                                                    ,2011年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086045236
绿缘公寓精装合租房，次卧只需3000.看房随时.,9000,3室2厅2卫,合租,精装修,浦东新区,世纪公园,30平米,南,普通住宅,花木苑,花木路500弄                                                    ,2001年,1.6,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085639084
地铁2号线毗邻世纪公园+证大（大拇指）广场+豪装中央空调地暖,11000,3室2厅2卫,整租,豪华装修,浦东新区,杨东,149平米,南北,公寓,陆家嘴中央公寓,东绣路99弄                                                    ,2006年,2.1,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083827582
急租《北华苑》精装修两房+家具家电齐全+看房提前联系+近地铁,5000,2室2厅1卫,整租,精装修,宝山区,大场,82平米,南北,普通住宅,北华苑,华灵路1351弄                                                    ,2000年,1.7,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082925278
浦东张江盛大天地青春1室1厅主卧朝南，精装修，拎包即住,3200,1室1厅1卫,合租,精装修,浦东新区,孙桥,45平米,南,商住两用,盛大天地青春里,华夏中路958弄                                                    ,2015年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081867154
法租界老洋房良友公寓，随时看房，2次装修，交通便利！,11000,2室2厅2卫,整租,豪华装修,徐汇区,徐家汇,110平米,南北,公寓,良友别墅,淮海西路345弄                                                    ,1950年,暂无,48%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085822605
新虹桥二房，精装带地暖空调全配！品质小区！采光景观好！！,4900,2室2厅1卫,整租,精装修,松江区,九亭,85平米,南北,普通住宅,新虹桥首府,九杜路909弄                                                    ,暂无,暂无,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083086395
新推 亚洲标杆，陆家嘴CBD，一线江景全新装修，堪比汤臣一品,18000,2室2厅2卫,整租,豪华装修,浦东新区,陆家嘴,135平米,南北,普通住宅,滨江凯旋门,浦明路688弄                                                    ,2013年,2.4,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081016125
豪华装修，全屋地暖，南北通透，交通方便近地铁,19000,3室2厅2卫,整租,豪华装修,长宁区,古北,141平米,南北,公寓,古北嘉年华庭,黄金城道259弄                                                    ,2004年,2,53%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085846004
紫金花园 照片实拍+刚刚挂牌+前后无遮挡+南北通,5000,2室2厅1卫,整租,精装修,松江区,九亭,116平米,南,公寓,紫金花园,沪亭南路208弄                                                    ,2003年,1.5,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085670780
欣沁苑出门商业街 对面公交站 出行生活配套皆方便 实拍图片,2900,2室2厅1卫,整租,精装修,青浦区,徐泾,73平米,南北,普通住宅,徐泾北城欣沁苑,尚泰路238弄                                                    ,暂无,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085201610
站，叠加大别墅，长签三年，淘宝可以接受，随时看房,7777,4室2厅3卫,整租,毛坯,闵行区,浦江镇,220平米,南北,别墅,浦江华侨城(一期),江桦路199弄                                                    ,2007年,1.5,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083810732
周边配套成熟 靠近地铁6号线 精装全配 拎包即住 看房方便,3300,1室1厅1卫,整租,精装修,浦东新区,洋泾,45平米,南,普通住宅,泾东小区(浦东),博山路51弄39-61号                                                    ,1990年,2.8,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1080933858
"高品质住宅,地铁4/8号线,精装全配,干净清爽,温馨舒适居家",6000,2室1厅1卫,整租,精装修,黄浦区,蓬莱公园,98平米,南北,普通住宅,弘辉名苑,西藏南路1501弄1-8号                                                    ,2005年,4.35,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084150517
",电梯三房,诚心出租,出门地铁6、7号线,错过真是损失",8500,3室1厅1卫,整租,精装修,浦东新区,南码头,125平米,南,普通住宅,天意洲家园,沂林路77弄                                                    ,2002年,3.5,47%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083011009
老业主委托，达安城高区豪华装修三房，房东急租，地铁近在咫尺。,12500,3室2厅1卫,整租,精装修,静安区,南京西路,117平米,南,公寓,达安城,新闸路777弄                                                    ,2001年,暂无,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082627543
上戏对面 商圈位置 全新装修 品质小区 诚心出租 拎包入住！,3500,2室1厅1卫,整租,精装修,闵行区,古美,72平米,南,普通住宅,古美八村,莲花路310弄                                                    ,1995年,1.8,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085877370
《高效租房全程带看》房间南北通透，采光很好，看中即可入住,5000,2室1厅1卫,整租,精装修,长宁区,仙霞,75平米,南北,普通住宅,茅台雅苑,茅台路597弄9-11号                                                    ,1992年,2,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085551858
精装修+随时看房+拎包入住+环境好+地铁4/8号线+电梯房,4000,1室1厅1卫,整租,精装修,黄浦区,蓬莱公园,65平米,南北,普通住宅,同济蓬莱家园,瞿溪路301弄                                                    ,2004年,4,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084779232
单间长寿地铁站 亚新广场 海底捞附近 看房随时,1500,1室,合租,精装修,普陀区,长寿,12平米,南,普通住宅,上青佳园,常德路1258弄                                                    ,2008年,暂无,42%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085794194
临近韩国街疯狂小区手机实拍品质小区精装电梯三房房东急租,8500,3室1厅1卫,整租,精装修,闵行区,龙柏金汇,100平米,南,普通住宅,龙柏香榭苑,青杉路169弄                                                    ,2002年,2.2,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085691468
旭辉华庭2室2厅邻地铁精装温馨干净家具家电齐拎包入住,3500,2室2厅1卫,整租,精装修,嘉定区,嘉定新城,80平米,南北,普通住宅,旭辉华庭,高台路1333弄                                                    ,2013年,2,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085655900
精装全配，拎包入住+温馨舒适+押一付一+随时看房+约起来,3500,1室1厅1卫,整租,简单装修,普陀区,甘泉宜川,27平米,南,普通住宅,宜川一村,骊山路260-262号                                                    ,1988年,1.8,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085589690
《精装一房》《近地铁》《免租期长》《有钥匙看房方便》,3500,1室1厅1卫,整租,精装修,长宁区,虹桥,30平米,南,普通住宅,联建新村(长宁),仙霞路15弄                                                    ,1978年,1.5,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084735434
万科假日风景四房精美装修拎包入住,9000,4室2厅2卫,整租,精装修,闵行区,春申,160平米,南北,公寓,假日风景(春申万科城),畹町路100弄                                                    ,2004年,0.87,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084697736
"北新泾,新泾三村1室户3000,新渔路,北渔路,地铁2号线",3500,1室1厅1卫,整租,中等装修,长宁区,北新泾,43平米,南,普通住宅,新泾三村,新泾三村5-160号                                                    ,1988年,1.85,27%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1083920088
"》中春三水苑房屋精装修电梯2房,入住随时,看房方便,诚意出租",3500,2室2厅1卫,整租,精装修,闵行区,春申,90平米,南,普通住宅,中春三水苑,曙建路51弄1-38号                                                    ,2009年,1.3,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085848061
香榭丽花园，地铁附近，火热地段，抢手房源！,16000,3室2厅2卫,整租,精装修,浦东新区,源深,161平米,南北,公寓,香榭丽花园,松林路333弄                                                    ,2001年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085285951
石库门风格别墅，总统套房地上3层地下2层，电梯刷卡入户！,80000,4室3厅4卫,整租,豪华装修,徐汇区,建国西路,220平米,南北,普通住宅,建国西路新里,建国西路                                                    ,2005年,2.3,32%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084515287
"高科西路站7号线,长期稳定租客优先,现代简约装修,品牌家电配",3699,2室1厅1卫,整租,简单装修,浦东新区,北蔡,60平米,南,普通住宅,由由四村,严中路373弄                                                    ,1997年,2,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1083361319
远离闹市喧嚣，尽享静谧人生坐拥城市繁华房源出租整租,4000,1室1厅1卫,整租,精装修,普陀区,长寿,52平米,南,公寓,大众河滨酒店式公寓,长寿路888号                                                    ,2004年,1,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083306797
1号、3号线地铁房精装两室一厅合租,2860,2室1厅1卫,合租,精装修,徐汇区,上海南站,12平米,南,普通住宅,金牛苑,石龙路731弄                                                    ,1999年,2.3,33%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083276713
达安春之声+豪装两房+靠近地铁11号线+拎包入住,6800,2室2厅1卫,整租,豪华装修,普陀区,万里,95平米,南北,普通住宅,达安春之声花园,水泉路88弄                                                    ,2005年,暂无,47%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082200565
独栋别墅急租急租拎包入住紧邻地铁可以办公看房随时有钥匙,10000,5室2厅4卫,整租,精装修,闵行区,七宝,300平米,南北,别墅,宝华花园,中春路6689弄                                                    ,2009年,暂无,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081925285
松江九亭9号线地铁口，步行仅100米，业主诚意出租,4500,2室2厅1卫,整租,精装修,松江区,九亭,90平米,南北,公寓,嘉和阳光城,九新公路58弄                                                    ,2006年,1.84,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085879014
标准 朝南精装全配一室户出租独厨独卫 实图拍摄拎包入住,2000,1室,整租,精装修,浦东新区,北蔡,20平米,南,普通住宅,锦博苑,高科西路2111弄                                                    ,2007年,1.7,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085068804
房东上门挂牌，二期3室出租，家具电器齐全，拎包入住有钥匙,10500,3室2厅1卫,整租,精装修,浦东新区,世纪公园,145平米,南北,普通住宅,大唐盛世花园(二期),樱花路801弄                                                    ,2004年,1,44%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084337446
精装朝南一房 全新装修 新出租 看房方便 紧邻地铁4/8/,4800,1室1厅1卫,整租,豪华装修,黄浦区,蓬莱公园,50平米,南,普通住宅,西凌新邨,制造局路455弄                                                    ,1987年,1.8,32%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083044596
店长举.牌推.荐：此房三天不租，立马卸甲归田！豪装三房！首租,7000,3室2厅2卫,整租,精装修,闵行区,七宝,130平米,南,普通住宅,蓼花汀花园(公寓),七莘路1728弄                                                    ,2005年,1.7,55%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1080661366
金桥禹州国际 复式5.5米挑高 居家两房精装修 居家全齐,4500,2室1厅2卫,整租,豪华装修,浦东新区,金桥,120平米,南,公寓,禹州金桥国际,金港路333弄                                                    ,2009年,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1079869240
伊顿公馆3房2800出租，干净整洁，随时入住，看房有钥匙,2800,3室2厅1卫,整租,精装修,浦东新区,惠南,89平米,南北,普通住宅,鹏润伊顿公馆,观海路1118弄                                                    ,2013年,1.8,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085627745
宛南五村.精装正南两房.近地铁4/11号线交通便捷.房东急租,5000,2室1厅1卫,整租,精装修,徐汇区,龙华,62平米,南,普通住宅,宛南五村,龙华路2501弄                                                    ,1990年,1.8,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085370837
大连路1188弄主卧朝南采光充足,3500,1室1厅1卫,整租,简单装修,杨浦区,江浦路,36平米,南,公寓,大连路1188弄小区,大连路1188弄1-26号                                                    ,1992年,1.98,38%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084928313
老业主委托+全家移民国外+钥匙房+全装全配,9000,2室2厅2卫,整租,精装修,浦东新区,联洋,120平米,南,普通住宅,联洋年华,丁香路910弄                                                    ,2004年,2.86,51%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084380285
东昌站地铁站乳山五村 一室半 精装修 随时看房   拎包入住,4800,1室1厅1卫,整租,精装修,浦东新区,陆家嘴,41平米,南,普通住宅,乳山五村,商城路918弄1-22号                                                    ,1985年,1.4,37%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083557205
真实价格房东精心装修配置高端家具家电看小区景观直通地下车库,8500,3室2厅2卫,整租,精装修,浦东新区,三林,136平米,南北,公寓,环球翡翠湾花园,西泰林路158弄                                                    ,2006年,1.5,42%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081562523
精装全配~周边配套设施齐全~保养如新~高区景观房~随时看房,4300,2室1厅1卫,整租,精装修,虹口区,江湾镇,78平米,南北,普通住宅,金枫里,虹湾路55弄1-46号                                                    ,2016年,3.39,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085391962
康健公寓 大两房 进世外小学 上海南站 地铁站,8500,2室2厅1卫,整租,精装修,徐汇区,康健,108平米,南北,公寓,康健公寓,桂林东街218弄                                                    ,1995年,2.8,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085186822
黎安一村，精装一房，居家温馨装修，好楼层，近12号线，怡丰城,3300,1室1厅1卫,整租,精装修,闵行区,莘庄,48平米,南,普通住宅,黎安一村,黎安路551弄                                                    ,1998年,1.5,27%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1084122254
"地铁八号线永康城香樟苑,三房精装急租,楼下菜场学校超市聚划算",2500,3室2厅1卫,整租,精装修,闵行区,浦江镇,78平米,南北,普通住宅,永康城香樟苑,盐铁塘路435弄                                                    ,2014年,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1083915656
豪华装修，精致一房，紧邻地铁，拎包入住,5000,1室1厅1卫,整租,精装修,浦东新区,张江,60平米,东南,公寓,城市经典高迪,青桐路618弄                                                    ,2006年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083439190
繁华地段+配套设施齐全+近大润发轻纺市场+采光无遮挡+精装修,2900,1室1厅1卫,整租,精装修,嘉定区,丰庄,52平米,南,普通住宅,丰庄二村,丰庄二村                                                    ,暂无,暂无,0%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1080063554
淞南八村精装两房 楼层佳 干净全配 拎包入住 等你来,3400,2室1厅1卫,整租,精装修,宝山区,高境,58平米,南,普通住宅,淞南八村,长江南路                                                    ,1994年,1.6,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1086043831
"新上房源,挂牌出租,新装全配,星中路9号线靠漕河泾有钥匙",4400,2室1厅1卫,整租,精装修,闵行区,漕宝,75平米,南,普通住宅,红明一村,漕宝路1565弄                                                    ,1994年,暂无,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085930329
吴泾小区，出门就178 956公交，方便快捷，门口就是菜场！,2200,2室1厅1卫,整租,精装修,闵行区,吴泾,54平米,南,普通住宅,吴泾小区,龙吴路5530弄                                                    ,1970年,1.2,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085739511
豪华装修，靠近地铁站，旁边有家乐福超市，交通方便,5000,4室2厅3卫,整租,豪华装修,松江区,莘闵别墅区,252平米,南北,别墅,丽水华庭,新南路1088弄                                                    ,暂无,0.73,56%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084674967
双地铁口，业主自住装修出租，拎包入住！出行方便,3200,2室2厅1卫,整租,精装修,浦东新区,周浦,75平米,南北,公寓,康桥宝邸,康弘路508弄                                                    ,2007年,1.2,50%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083995869
天山华庭，精装全配，2号沿线，诚意出租，价格可谈,11000,3室2厅1卫,整租,精装修,长宁区,天山,107平米,南北,普通住宅,天山华庭,威宁路458弄                                                    ,2008年,2.54,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083453577
无中介设施齐全 押一付一紧邻北新泾仙霞 交通便利免费双周保洁,2500,3室1厅1卫,合租,精装修,长宁区,北新泾,26平米,东,普通住宅,新泾八村,新渔路400弄1-29号                                                    ,2000年,1.7,32%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082925943
精装修原始一房一厅，带阁楼出租,2800,2室1厅1卫,整租,精装修,宝山区,上大,47平米,南,普通住宅,葑润华庭,祁华路58弄                                                    ,2008年,2,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081726573
近地铁8号线 新华医院 紫荆广场 精装修 有钥匙看房方便！,7600,2室2厅1卫,整租,精装修,杨浦区,鞍山,93平米,南北,公寓,新凤城(公寓),控江路1500弄                                                    ,2004年,0.7,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081328557
东方曼哈顿2室2厅2厅直租  可短租月付  高品质不将就,15900,2室2厅2卫,整租,豪华装修,徐汇区,徐家汇,100平米,南,普通住宅,东方曼哈顿世纪豪庭,虹桥路168号                                                    ,2001年,4,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083069222
9/13号地铁线 近新天地日月光 精装全配 周边配套齐全,10000,2室2厅1卫,整租,精装修,黄浦区,五里桥,99平米,南,普通住宅,汇龙新城,徐家汇路515弄1-16号                                                    ,2002年,4.36,36%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1083914820
南茶园合租 要求爱干净 环境优美 位置优越 近地铁10号线,5300,2室1厅1卫,整租,精装修,杨浦区,五角场,82平米,南,普通住宅,南茶园,国顺路81弄                                                    ,1995年,1.5,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085989223
蒙西小区 丽园公园 豪华式装修 近日月光，9号线，马当站,4500,3室1厅1卫,整租,精装修,黄浦区,五里桥,60平米,南,公寓,汇龙新城,徐家汇路515弄1-16号                                                    ,2002年,4.36,36%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085617115
近地铁 采光无遮挡 送车位 40万精装 初次出租 性价比高！,13000,3室2厅2卫,整租,精装修,浦东新区,塘桥,130平米,南,普通住宅,澳丽花苑,浦建路60弄                                                    ,2003年,1.6,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085455481
有钥匙，随时看房！净整洁，拎包入住！适合一家人！经济实惠,4500,3室2厅1卫,整租,精装修,松江区,松江大学城,96平米,南北,普通住宅,绿地蔷薇九里(公寓),广富林路1518弄                                                    ,2010年,1.4,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085390807
中信君庭、全屋地暖、真实图片、高区南北通、带车位、包会所物业,26000,3室2厅2卫,整租,豪华装修,徐汇区,龙华,177平米,南北,公寓,中信君廷,宛平南路1188弄                                                    ,2015年,2.5,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085046389
华升公寓+临近地铁+高层景观房+全装全配+采光充足+拎包入住,4600,2室1厅1卫,整租,精装修,杨浦区,江浦路,96平米,南,公寓,华升公寓,控江路1545弄1-2号                                                    ,1998年,3,24%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085041805
精装大两房+舒适清爽+繁华地段+靠近地铁一号线+城开中心,4400,2室2厅1卫,整租,精装修,闵行区,古美,99平米,南北,普通住宅,平阳绿家园,古美西路631弄                                                    ,2002年,1.8,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084075841
独卫，独立阳台，面积大，精装修全配，靠近9号线，拎包入住,2000,3室2厅2卫,整租,精装修,松江区,松江大学城,40平米,南,普通住宅,誉品谷水湾(公寓),龙马路185弄                                                    ,2014年,1.6,40%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082585105
精装修2室，马桥标志性楼盘，身份与地位的象征,3000,2室2厅1卫,整租,精装修,闵行区,老闵行,78平米,南北,普通住宅,万科城vcity,银春路2200弄                                                    ,2016年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1082363141
精装家电齐全 拎包入住 南北通透 17号地铁线 随时入住,4200,3室2厅1卫,整租,精装修,青浦区,赵巷,90平米,南北,公寓,绿中海雅庭(公寓),赵巷路188弄                                                    ,2012年,1,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1081964393
好房 眼前一亮 房东忍痛出租 只等有缘人,1500,1室1卫,合租,精装修,浦东新区,高行,30平米,南,普通住宅,新高苑佳园,高宝路68弄                                                    ,2010年,2,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085976016
11号线马陆地铁口  两室两厅   照片+价格+真  随时看,4000,2室2厅1卫,整租,精装修,嘉定区,嘉定新城,85平米,南,普通住宅,安高东方名邸,崇福路398弄                                                    ,2016年,2.5,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085819338
临近7.8号耀华路地铁站.近三钢里小吃街.精美装修.南北通透,4800,1室2厅1卫,整租,精装修,浦东新区,上南,60平米,南北,公寓,上南一村,上南路929弄                                                    ,1983年,1.6,20%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1085720752
星海大厦，长寿路巴黎春天对面朝南大卧租，近长寿路地铁口,2800,4室1厅2卫,合租,精装修,普陀区,长寿,18平米,南,普通住宅,星海大厦,江宁路1251弄                                                    ,2000年,1.7,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084911814
金祁新城精装修两房 租价合理 随时入住,4200,2室2厅1卫,整租,精装修,普陀区,李子园,72平米,南,普通住宅,安居金祁新城(东区),祁安路368弄                                                    ,2005年,暂无,43%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1084055944
宛南六村朝南一室户，房东上门挂牌急租，有钥匙可以随时看房子,3500,1室1厅1卫,整租,精装修,徐汇区,龙华,40平米,南,普通住宅,宛南六村,天钥桥路905弄1-46号                                                    ,1981年,1.8,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085568507
房东再三要求一定要找好的租客，租客好一切都好，精装一房一厅,6500,1室1厅1卫,整租,精装修,徐汇区,徐家汇,44平米,南,普通住宅,东方时空公寓,番禺路1099弄                                                    ,2003年,3.6,36%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085155847
朗庭上郡，精装修2+1户型，看房方便，小区中心位置,4520,2室2厅1卫,整租,精装修,松江区,九亭,88平米,南北,公寓,朗庭上郡苑(公寓),朗亭路288弄                                                    ,2010年,0.86,45%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085078003
地铁旁 舒适居家大两一房 精装修 品牌家具家电 愿租有缘人,2600,1室1厅1卫,整租,精装修,徐汇区,华东理工,45平米,南,普通住宅,梅陇四村,龙州路975号                                                    ,1994年,暂无,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085071631
"宁和小区新出精装一房,守次出租,紧挨一号线,出门就是大宁国际",3300,1室1厅1卫,整租,精装修,静安区,大宁,38平米,南,普通住宅,宁和小区,大宁路540弄                                                    ,1995年,1.6,25%（绿化率适中）,https://sh.zu.anjuke.com/fangyuan/1082525813
清爽大户型，齐全家电，好世鹿鸣苑 精装修9500元/月,9500,3室2厅2卫,整租,精装修,闵行区,莘庄,135平米,南北,普通住宅,好世鹿鸣苑,闵城路199弄                                                    ,2009年,2.5,35%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085934526
宛南二村 三楼 朝南 一房一厅 新装修 近上海体育场站4,4400,1室1厅1卫,整租,中等装修,徐汇区,徐家汇,42平米,南,普通住宅,中山南二路945弄,宛平南路799弄                                                    ,1986年,1.9,30%（绿化率高）,https://sh.zu.anjuke.com/fangyuan/1085830102
