标题,房型,房租,房租单位,地址
单间 | 新房出租 小区快速直达地铁 精装修家具家电齐全 看房,主卧(1室)                    20㎡,1800,元/月
整租 | 汇元坊 2室1卫2厅,2室2厅1卫                    100㎡,9500,元/月
整租 | 莲康苑 1室1厅1卫,1室1厅1卫                    58㎡,3500,元/月
整租 | 古桐公寓 2室2卫1厅,2室1厅2卫                    78㎡,1600,元/月
单间 | 闵行古美罗阳江南星城叠翠 3室2厅 主卧 朝南 精装,主卧(3室)                    20㎡,2580,元/月
标题,房型,房租,房租单位,地址
整租 | 2号线徐泾东，二联馨苑，朝南带独厨卫，通风好，押一付,1室0厅1卫                    30㎡,2400,元/月
整租 | 虹桥火车站附近爱博六村，南北精装二室，带阳台，拎包入,2室2厅1卫                    65㎡,3900,元/月
单间 | 一号线马戏城，大宁国际，精装合租房，朝南大次卧带拐角,次卧(3室)                    22㎡,1800,元/月
单间 | 浦东陆家嘴东昌大楼 大学生 白领公寓 精装修【女生】,主卧(2室)                    35㎡,900,元/月
整租 | 市民新村 2室1厅1卫,2室1厅1卫                    47㎡,5500,元/月
单间 | 两个单间出租豪华装修,主卧(3室)                    94㎡,2500,元/月
单间 | 房间现代简约风格装修/干净清爽/品质公寓品牌保证 贴,主卧(3室)                    23㎡,1199,元/月
整租 | 华悦家园(1 1室0厅1卫,1室0厅1卫                    25㎡,2300,元/月
单间 | 瑞和华苑 简单装修 男女不限 拎包入住,次卧(2室)                    18㎡,800,元/月
单间 | 好日子大家园D区 2室2厅1卫 男女不限,主卧(2室)                    15㎡,800,元/月
单间 | 一号线通和新村站附近有单间出租。装修精美。,次卧(4室)                    15㎡,1300,元/月
单间 | 个人转租，万科城市花园7区22号电梯房合租房面积大,次卧(3室)                    20㎡,1600,元/月
单间 | 高档小区单间出租,主卧(3室)                    138㎡,3800,元/月
单间 | 带空调宽带热水器非隔断优质房限女士,主卧(2室)                    45㎡,450,元/月
整租 | 鑫佳青年公寓 1室0厅1卫,1室0厅1卫                    45㎡,1650,元/月
"整租 | 川沙城区 精装全配2房朝南,次出租,石皮路4楼 附图",2室1厅1卫                    68㎡,3100,元/月
整租 | 金汇豪庭 4室2厅3卫,4室2厅3卫                    245㎡,25000,元/月
单间 | 闵行航华航华一村一街 2室1厅 次卧 朝北 简单装修,次卧(2室)                    20㎡,1700,元/月
整租 | 昌鑫时代绿园精装两房 配套齐全 拎包入住 随时看房,2室1厅1卫                    70㎡,3600,元/月
整租 | 丽水豪庭 3室1厅1卫,3室1厅1卫                    84㎡,4300,元/月
整租 | 灵新小区 1室1厅1卫,1室1厅1卫                    47㎡,2700,元/月
单间 | 徐汇万体馆徐虹公寓 1室2厅 次卧 朝西 豪华装修,次卧(1室)                    36㎡,2900,元/月
单间 | 泗泾新凯城兰馨苑单间出租,次卧(3室)                    16㎡,1300,元/月
单间 | 金群苑南区 4室1厅1卫 男女不限 转租急价钱好商量,次卧(4室)                    24㎡,1450,元/月
单间 | 中大九里德(公寓) 3室2厅1卫 男女不限,主卧(3室)                    15㎡,1300,元/月
单间 | 采光大气别样的温馨如家的温暖实体主、次卧1200-1,主卧(3室)                    20㎡,1600,元/月
"整租 | 地铁旁精装修公寓（浦江意优）,可提供工作或生意机会",1室1厅1卫                    50㎡,3200,元/月
整租 | 漓江山水花园 4室3卫2厅,4室3厅2卫                    305㎡,19800,元/月
整租 | 黄浦滨江奢华大三房+采光好+业主首租+地铁9号线小南,3室2厅2卫                    155㎡,14000,元/月
整租 | 高行1室一个有美、有艺术、有生活、唯独没有压力的居住,1室0厅1卫                    25㎡,1800,元/月
单间 | 春申押一付一宜家装修送保洁WiFi地铁周边直租随时入,主卧(3室)                    26㎡,2475,元/月
整租 | 地铁南浦大桥站 温馨舒适 拎包入住 房型正气 朝南采,1室1厅1卫                    41㎡,3200,元/月
整租 | 只做真实的房源，新出好房 一日必租 一房精装全配 4,1室1厅1卫                    43㎡,3000,元/月
整租 | 嘉诚倾力打造露香园 豪华装修全屋地暖干净清爽 有会所,3室2厅3卫                    260㎡,25000,元/月
单间 | 个人出租，包宽带实体朝南全装全配，随时入住，近莲花路,次卧(3室)                    18㎡,1650,元/月
单间 | 浦东外高桥和祥佳园 3室1厅 隔断 毛坯,隔断(3室)                    100㎡,700,元/月
整租 | 崧文苑 3室2厅2卫,3室2厅2卫                    118㎡,2555,元/月
整租 | 优质两房，豪华装修，家电齐全，拧包入住,2室1厅1卫                    76㎡,2100,元/月
整租 | 精装一房，家具全套，出门地铁，商圈成熟，拎包入住，诚,1室1厅1卫                    41㎡,3200,元/月
整租 | 紧缺房源 物业管理完善 环境优雅 绿化设施全 拎包入,2室1厅2卫                    52㎡,3100,元/月
整租 | 上南五村 靠近地铁7.8号线 全明户型 精装修 可押,1室1厅1卫                    40㎡,2300,元/月
整租 | 近马路地铁站.麦德龙.育才中学.育英街.精装全配.拎,3室2厅1卫                    88㎡,5000,元/月
整租 | 十号线龙柏新村站精装修大一房随时看房随时入住欢迎致电,1室1厅1卫                    40㎡,3500,元/月
"单间 | 3号线附近，包水电，石墙小间,场中路口江杨南路55弄",次卧(4室以上)                    8㎡,850,元/月
单间 | 华川家园朝南房间采光好空间大，小区绿化好,(4室)                    16㎡,1000,元/月
整租 | 房东急租底价出租仅此一套紧邻地，铁6/7/8号，线随,2室1厅1卫                    68㎡,4500,元/月
整租 | 张江镇上的一房，离金科路地铁和广兰路地铁都很近,1室1厅1卫                    37㎡,3200,元/月
单间 | 多余的一个房间低价出租（可适当面议）非中介，房间所见,次卧(3室)                    12㎡,1000,元/月
单间 | 曹杨花苑北区 11号线上海西站 主卧朝南 大空间 如,主卧(3室)                    18㎡,2000,元/月
整租 | 7号13号长寿路地铁口+小区干净卫生+朝南户型,1室1厅1卫                    40㎡,4800,元/月
整租 | 车站新村精装修一房紧靠上海西站地铁十一号线随时拎包入,2室1厅1卫                    64㎡,6400,元/月
整租 | 微租公寓 租金1030元新出独厨独卫精装一室户 7号,1室0厅1卫                    15㎡,1030,元/月
整租 | 平阳绿家园-三期 1室1厅1卫,1室1厅1卫                    35㎡,2500,元/月
整租 | 近地铁9号线，不仅可以带你看房，还可以带你打王zhe,1室1厅1卫                    46㎡,3400,元/月
单间 | 虹口 曲阳路 2室 主卧,主卧(2室)                    40㎡,900,元/月
整租 | 夜景房 精装全配 空关 拎包入住 随时看房,2室2厅1卫                    81㎡,4890,元/月
单间 | 鸿宝二村北区 2室1厅1卫 男女不限,次卧(2室)                    18㎡,1099,元/月
整租 | 底价出租南北通透3室绿地威廉公寓采光好拎包随时就可以,3室2厅2卫                    122㎡,5500,元/月
"整租 | 精装全配2房出租 只要1700一个月,房东人很好!拎",2室2厅1卫                    88㎡,1700,元/月
整租 | 新凯家园 1室1厅1卫,1室1厅1卫                    55㎡,2300,元/月
整租 | 永和一村 近市北工业园 仅靠易初莲花超市 家具全配,1室1厅1卫                    45㎡,3900,元/月
整租 | 卓越世纪中心 楼下商业街 周边百联苏宁 临近地铁 拎,2室1厅2卫                    47㎡,1700,元/月
整租 | 复地北桥城 联排别墅 厅大带地下室 近地铁5号线 随,3室2厅2卫                    280㎡,6000,元/月
整租 | 价格可以谈 房东叔叔很好说话的 家具电器都好用的 拎,1室1厅1卫                    50㎡,3500,元/月
整租 | 江桥佳苑 1室1厅1卫,1室1厅1卫                    45㎡,2500,元/月
整租 | 房子合适不合适 点进来看看就知道 不会让您失望！,2室1厅1卫                    63㎡,5800,元/月
单间 | 浦东周浦汤巷馨村二期 1室0厅 主卧 朝南 简单装修,主卧(1室)                    22㎡,1300,元/月
单间 | 福赐花苑 押一付一 单身公寓 近D铁 三号 看房方便,主卧(2室)                    103㎡,2500,元/月
整租 | 城市经典玉墅豪华装修，独特的风格，有内涵，临近地铁随,5室2厅3卫                    196㎡,25000,元/月
单间 | 清爽实惠空调单间800-1450次卧公交直达徐家汇万,隔断(2室)                    10㎡,850,元/月
整租 | 整租 新出房源 天极盛宅花园 二室二厅一卫 家具家电,2室2厅1卫                    80㎡,2200,元/月
整租 | 精装全配两房，紧邻地铁8/13号线，随时看房，拎包入,2室1厅1卫                    56㎡,3100,元/月
整租 | 径东小区个人 1室1厅1卫,1室1厅1卫                    42㎡,3700,元/月
标题,房型,房租,房租单位,地址
单间 | 万体馆押一付一全装全配实拍图交通便利直租拎包入住,主卧(3室)                    26㎡,2350,元/月
整租 | 诚租东方商厦旁2房 装修全配 包物业 1700,2室1厅1卫                    55㎡,2200,元/月
整租 | 祥和名抵朝南带阳台照片真实中央空调带地暖看房方便,2室1厅1卫                    82㎡,7500,元/月
"整租 | 川沙城区 精装全配2房朝南,次出租,石皮路4楼 附图",2室1厅1卫                    68㎡,3100,元/月
整租 | 径东小区个人 1室1厅1卫,1室1厅1卫                    42㎡,3700,元/月
整租 | 鑫佳青年公寓 1室0厅1卫,1室0厅1卫                    45㎡,1650,元/月
单间 | 绿庭尚城 3室1厅2卫 采光好 个人出租 无,主卧(3室)                    20㎡,1500,元/月
整租 | 永和一村 近市北工业园 仅靠易初莲花超市 家具全配,1室1厅1卫                    45㎡,3900,元/月
单间 | 个人转租，万科城市花园7区22号电梯房合租房面积大,次卧(3室)                    20㎡,1600,元/月
整租 | 地铁南浦大桥站 温馨舒适 拎包入住 房型正气 朝南采,1室1厅1卫                    41㎡,3200,元/月
整租 | 华悦家园(1 1室0厅1卫,1室0厅1卫                    25㎡,2300,元/月
整租 | 金汇豪庭 4室2厅3卫,4室2厅3卫                    245㎡,25000,元/月
整租 | 张江东区人才公寓私房出租,1室0厅1卫                    20㎡,1400,元/月
整租 | 底价出租南北通透3室绿地威廉公寓采光好拎包随时就可以,3室2厅2卫                    122㎡,5500,元/月
单间 | 华川家园朝南房间采光好空间大，小区绿化好,(4室)                    16㎡,1000,元/月
单间 | 一号线通和新村站附近有单间出租。装修精美。,次卧(4室)                    15㎡,1300,元/月
整租 | 复地北桥城 联排别墅 厅大带地下室 近地铁5号线 随,3室2厅2卫                    280㎡,6000,元/月
单间 | 瑞和华苑 简单装修 男女不限 拎包入住,次卧(2室)                    18㎡,800,元/月
整租 | 房子合适不合适 点进来看看就知道 不会让您失望！,2室1厅1卫                    63㎡,5800,元/月
整租 | 微租公寓 租金1030元新出独厨独卫精装一室户 7号,1室0厅1卫                    15㎡,1030,元/月
整租 | 浦东惠南南门沪浦公寓无拎包入住 1室0厅1卫,1室0厅1卫                    25㎡,800,元/月
单间 | 徐汇区，距离地铁口600米，房东直租，通风采光环境好,主卧(2室)                    45㎡,600,元/月
整租 | 紧缺房源 物业管理完善 环境优雅 绿化设施全 拎包入,2室1厅2卫                    52㎡,3100,元/月
整租 | 海滨七村 1室1卫1厅,1室1厅1卫                    40㎡,3000,元/月
整租 | 高行1室一个有美、有艺术、有生活、唯独没有压力的居住,1室0厅1卫                    25㎡,1800,元/月
整租 | 卓越世纪中心 楼下商业街 周边百联苏宁 临近地铁 拎,2室1厅2卫                    47㎡,1700,元/月
整租 | 近马路地铁站.麦德龙.育才中学.育英街.精装全配.拎,3室2厅1卫                    88㎡,5000,元/月
整租 | 精装一房，家具全套，出门地铁，商圈成熟，拎包入住，诚,1室1厅1卫                    41㎡,3200,元/月
整租 | 张江镇上的一房，离金科路地铁和广兰路地铁都很近,1室1厅1卫                    37㎡,3200,元/月
单间 | 中大九里德(公寓) 3室2厅1卫 男女不限,主卧(3室)                    15㎡,1300,元/月
整租 | 市政馨苑 1室1厅1卫,1室1厅1卫                    52㎡,4500,元/月
整租 | 整租 新出房源 天极盛宅花园 二室二厅一卫 家具家电,2室2厅1卫                    80㎡,2200,元/月
整租 | 丽水豪庭 3室1厅1卫,3室1厅1卫                    84㎡,4300,元/月
整租 | 夜景房 精装全配 空关 拎包入住 随时看房,2室2厅1卫                    81㎡,4890,元/月
单间 | 君莲小区 3室1厅1卫 男女不限 主卧 朝阳,主卧(3室)                    18㎡,1700,元/月
整租 | 价格可以谈 房东叔叔很好说话的 家具电器都好用的 拎,1室1厅1卫                    50㎡,3500,元/月
整租 | 近地铁9号线，不仅可以带你看房，还可以带你打王zhe,1室1厅1卫                    46㎡,3400,元/月
整租 | 优质两房，豪华装修，家电齐全，拧包入住,2室1厅1卫                    76㎡,2100,元/月
整租 | 只做真实的房源，新出好房 一日必租 一房精装全配 4,1室1厅1卫                    43㎡,3000,元/月
整租 | 昌鑫时代绿园精装两房 配套齐全 拎包入住 随时看房,2室1厅1卫                    70㎡,3600,元/月
单间 | 个人出租，包宽带实体朝南次全装全配，随时入住，近莲花,次卧(3室)                    18㎡,1650,元/月
单间 | 1室0厅 次卧 朝北 豪华装修随时可以拎包入住我是房,次卧(1室)                    33㎡,2400,元/月
"单间 | 3号线附近，包水电，石墙小间,场中路口江杨南路55弄",次卧(4室以上)                    8㎡,850,元/月
单间 | 都市雅筑 2室2厅 次卧 朝南 简单装修,次卧(2室)                    15㎡,950,元/月
单间 | 带空调宽带热水器非隔断优质房限女士,主卧(2室)                    45㎡,450,元/月
单间 | 九亭地铁站亭汇花苑 朝南大卧室带大阳台，然气烧饭,次卧(2室)                    28㎡,1850,元/月
整租 | 嘉诚倾力打造露香园 豪华装修全屋地暖干净清爽 有会所,3室2厅3卫                    260㎡,25000,元/月
整租 | 十号线龙柏新村站精装修大一房随时看房随时入住欢迎致电,1室1厅1卫                    40㎡,3500,元/月
整租 | 城市经典玉墅豪华装修，独特的风格，有内涵，临近地铁随,5室2厅3卫                    196㎡,25000,元/月
整租 | 上南五村 靠近地铁7.8号线 全明户型 精装修 可押,1室1厅1卫                    40㎡,2300,元/月
单间 | 浦东外高桥和祥佳园 3室1厅 隔断 毛坯,隔断(3室)                    100㎡,700,元/月
单间 | 福赐花苑 押一付一 单身公寓 近D铁 三号 看房方便,主卧(2室)                    103㎡,2500,元/月
单间 | 银华苑(浦东) 2室1厅1卫 男女不限,主卧(2室)                    75㎡,1600,元/月
单间 | 春申押一付一宜家装修送保洁WiFi地铁周边直租随时入,主卧(3室)                    26㎡,2475,元/月
单间 | 鸿宝二村北区 2室1厅1卫 男女不限,次卧(2室)                    18㎡,1099,元/月
整租 | 7号13号长寿路地铁口+小区干净卫生+朝南户型,1室1厅1卫                    40㎡,4800,元/月
"整租 | 精装全配2房出租 只要1700一个月,房东人很好!拎",2室2厅1卫                    88㎡,1700,元/月
整租 | 灵新小区 1室1厅1卫,1室1厅1卫                    47㎡,2700,元/月
整租 | 市民新村 2室1厅1卫,2室1厅1卫                    47㎡,5500,元/月
整租 | 精装全配两房，紧邻地铁8/13号线，随时看房，拎包入,2室1厅1卫                    56㎡,3100,元/月
整租 | 崧文苑 3室2厅2卫,3室2厅2卫                    118㎡,2555,元/月
单间 | 房间现代简约风格装修/干净清爽/品质公寓品牌保证 贴,主卧(3室)                    23㎡,1199,元/月
整租 | 新凯家园 1室1厅1卫,1室1厅1卫                    55㎡,2300,元/月
单间 | 泗泾新凯城兰馨苑单间出租,次卧(3室)                    16㎡,1300,元/月
单间 | 上海康城 1室1厅1卫 限女生,次卧(1室)                    20㎡,1350,元/月
单间 | 金群苑南区 4室1厅1卫 男女不限 转租急价钱好商量,次卧(4室)                    24㎡,1450,元/月
单间 | 虹口 曲阳路 2室 主卧,主卧(2室)                    40㎡,900,元/月
单间 | 浦东周浦汤巷馨村二期 1室0厅 主卧 朝南 简单装修,主卧(1室)                    22㎡,1300,元/月
整租 | 房东急租底价出租仅此一套紧邻地，铁6/7/8号，线随,2室1厅1卫                    68㎡,4500,元/月
整租 | 车站新村精装修一房紧靠上海西站地铁十一号线随时拎包入,2室1厅1卫                    64㎡,6400,元/月
整租 | 黄浦滨江奢华大三房+采光好+业主首租+地铁9号线小南,3室2厅2卫                    155㎡,14000,元/月
整租 | 平阳绿家园-三期 1室1厅1卫,1室1厅1卫                    35㎡,2500,元/月
"整租 | 地铁旁精装修公寓（浦江意优）,可提供工作或生意机会",1室1厅1卫                    50㎡,3200,元/月
标题,房型,房租,房租单位,地址
标题,房型,房租,房租单位,地址
标题,房型,房租,房租单位,地址
整租 | 龙柏四季花园+地铁口三房+电梯8楼+自住装修+带租赁,3室2厅2卫                    120㎡,8000,元/月
整租 | 好消息公寓直租地铁6号线沿线！便宜实惠无！实拍照片,1室1厅1卫                    30㎡,1899,元/月
整租 | 陆家嘴紧邻 八佰伴 潍坊 世纪大道2469 上海大厦,2室1厅1卫                    60㎡,5200,元/月
单间 | 春申押一付一宜家装修送保洁WiFi地铁周边直租随时入,主卧(3室)                    26㎡,2475,元/月
单间 | 房东直租（金港花园别墅）单间，燃气做饭，拎包入住,次卧(1室)                    18㎡,1200,元/月
整租 | 高行1室一个有美、有艺术、有生活、唯独没有压力的居住,1室0厅1卫                    25㎡,1800,元/月
"整租 | 川沙城区 精装全配2房朝南,次出租,石皮路4楼 附图",2室1厅1卫                    68㎡,3100,元/月
整租 | 永和一村 近市北工业园 仅靠易初莲花超市 家具全配,1室1厅1卫                    45㎡,3900,元/月
整租 | 精装全配两房，紧邻地铁8/13号线，随时看房，拎包入,2室1厅1卫                    56㎡,3100,元/月
"单间 | 3号线附近，包水电，石墙小间,场中路口江杨南路55弄",次卧(4室以上)                    8㎡,850,元/月
单间 | 7号线刘行地铁房 3室1厅1卫 男女不限,主卧(3室)                    85㎡,1000,元/月
单间 | 嘉海雅苑(380弄) 2室1厅1卫 限夫妻,主卧(2室)                    18㎡,1200,元/月
单间 | 宜达新居(8000弄) 3室2厅2卫 男女不限,隔断(3室)                    12㎡,550,元/月
整租 | 紧缺房源 物业管理完善 环境优雅 绿化设施全 拎包入,2室1厅2卫                    52㎡,3100,元/月
单间 | 福赐花苑 押一付一 单身公寓 近D铁 三号 看房方便,主卧(2室)                    103㎡,2500,元/月
单间 | 园南一村 2室1厅1卫,主卧(2室)                    70㎡,1750,元/月
整租 | 文汇小区 1室1厅1卫,1室1厅1卫                    43㎡,2600,元/月
整租 | 微租公寓 租金1030元新出独厨独卫精装一室户 7号,1室0厅1卫                    15㎡,1030,元/月
整租 | 7号13号长寿路地铁口+小区干净卫生+朝南户型,1室1厅1卫                    40㎡,4800,元/月
整租 | 仙逸小区-南3门 1室0厅1卫,1室0厅1卫                    41㎡,3800,元/月
整租 | 张江镇上的一房，离金科路地铁和广兰路地铁都很近,1室1厅1卫                    37㎡,3200,元/月
整租 | 古宋小区 2室1厅1卫,2室1厅1卫                    70㎡,5800,元/月
单间 | 华川家园朝南房间采光好空间大，小区绿化好,(4室)                    16㎡,1000,元/月
整租 | 六荷苑小区 2室1厅1卫,2室1厅1卫                    63.89㎡,3800,元/月
整租 | 近地铁9号线，不仅可以带你看房，还可以带你打王zhe,1室1厅1卫                    46㎡,3400,元/月
单间 | 低价转租！ 单间 限女生，小情侣亦可,次卧(3室)                    130㎡,1500,元/月
单间 | 周末特价精品房 不收任何 可付一押一,主卧(1室)                    20㎡,1660,元/月
整租 | 青浦华新华纪路88弄凌家小区 1室0卫1厅,1室1厅0卫                    22㎡,1100,元/月
整租 | 整租 新出房源 天极盛宅花园 二室二厅一卫 家具家电,2室2厅1卫                    80㎡,2200,元/月
整租 | 徐泾新村二区 1室1卫1厅,1室1厅1卫                    20㎡,1200,元/月
整租 | 金沙丽晶苑 3室2厅1卫,3室2厅1卫                    127㎡,10000,元/月
单间 | 阳光西班牙 11号线真如站 高档小区 大空间 温馨舒,次卧(4室)                    16㎡,2222,元/月
整租 | 房子合适不合适 点进来看看就知道 不会让您失望！,2室1厅1卫                    63㎡,5800,元/月
整租 | 同进理想城 2室1厅2卫,2室1厅2卫                    110㎡,5000,元/月
整租 | 城市经典玉墅豪华装修，独特的风格，有内涵，临近地铁随,5室2厅3卫                    196㎡,25000,元/月
整租 | 华亭镇 2室1厅1卫,2室1厅1卫                    150㎡,1500,元/月
单间 | 房东直租精装朝南主卧包水电网燃气1300/月中介勿扰,主卧(3室)                    15㎡,1300,元/月
单间 | 个人转租非中介，印象苑 3室1厅1卫 限女生,次卧(3室)                    45㎡,1475,元/月
整租 | 十号线龙柏新村站精装修大一房随时看房随时入住欢迎致电,1室1厅1卫                    40㎡,3500,元/月
整租 | 卓越世纪中心 楼下商业街 周边百联苏宁 临近地铁 拎,2室1厅2卫                    47㎡,1700,元/月
"整租 | 精装全配2房出租 只要1700一个月,房东人很好!拎",2室2厅1卫                    88㎡,1700,元/月
单间 | 婚房装修，全配。拎包入住。大阳台 大厨房。真实图片,次卧(2室)                    15㎡,1800,元/月
整租 | 房东急租底价出租仅此一套紧邻地，铁6/7/8号，线随,2室1厅1卫                    68㎡,4500,元/月
整租 | 夜景房 精装全配 空关 拎包入住 随时看房,2室2厅1卫                    81㎡,4890,元/月
整租 | 近马路地铁站.麦德龙.育才中学.育英街.精装全配.拎,3室2厅1卫                    88㎡,5000,元/月
整租 | 嘉诚倾力打造露香园 豪华装修全屋地暖干净清爽 有会所,3室2厅3卫                    260㎡,25000,元/月
单间 | 自己家房子750元诚心出租，要的来电,次卧(3室)                    12㎡,750,元/月
整租 | 车站新村精装修一房紧靠上海西站地铁十一号线随时拎包入,2室1厅1卫                    64㎡,6400,元/月
单间 | 华沁家园 精装朝南主卧带独立厨卫 家电齐全 随时入住,主卧(1室)                    28㎡,1900,元/月
单间 | 南九亭核心地段，地铁房，独立厨卫别墅单间诚心出租！,主卧(4室)                    18㎡,1600,元/月
整租 | 恒大华府 3室1卫2厅,3室2厅1卫                    95㎡,2500,元/月
单间 | 南村小区对面333号 1室1厅1卫 男女不限,主卧(1室)                    20㎡,1500,元/月
整租 | 黄浦滨江奢华大三房+采光好+业主首租+地铁9号线小南,3室2厅2卫                    155㎡,14000,元/月
整租 | 价格可以谈 房东叔叔很好说话的 家具电器都好用的 拎,1室1厅1卫                    50㎡,3500,元/月
整租 | 紫翠高清苑 2室1厅1卫,2室1厅1卫                    65㎡,4600,元/月
整租 | 宝华盛世花园 4室2卫2厅,4室2厅2卫                    150㎡,3400,元/月
整租 | 地铁南浦大桥站 温馨舒适 拎包入住 房型正气 朝南采,1室1厅1卫                    41㎡,3200,元/月
整租 | 月亮河桂园 2室2厅1卫,2室2厅1卫                    84㎡,4000,元/月
单间 | 闵行颛桥颛溪五村 3室1厅 主卧 朝南 精装修,主卧(3室)                    15㎡,1100,元/月
整租 | 象屿都城 2室1卫2厅,2室2厅1卫                    92㎡,4600,元/月
整租 | 昌鑫时代绿园精装两房 配套齐全 拎包入住 随时看房,2室1厅1卫                    70㎡,3600,元/月
整租 | 上海浦东新区 2室1厅1卫,2室1厅1卫                    72㎡,4700,元/月
整租 | 只做真实的房源，新出好房 一日必租 一房精装全配 4,1室1厅1卫                    43㎡,3000,元/月
单间 | 高东新村 2室1厅1卫 男女不限,次卧(2室)                    20㎡,1500,元/月
整租 | 底价出租南北通透3室绿地威廉公寓采光好拎包随时就可以,3室2厅2卫                    122㎡,5500,元/月
整租 | 上南五村 靠近地铁7.8号线 全明户型 精装修 可押,1室1厅1卫                    40㎡,2300,元/月
单间 | 康桥老街 2室2厅 次卧转租 限女生,次卧(2室)                    89㎡,1900,元/月
整租 | 陆家嘴创业街区 2室2厅1卫,2室2厅1卫                    125㎡,11000,元/月
整租 | 复地北桥城 联排别墅 厅大带地下室 近地铁5号线 随,3室2厅2卫                    280㎡,6000,元/月
整租 | 精装一房，家具全套，出门地铁，商圈成熟，拎包入住，诚,1室1厅1卫                    41㎡,3200,元/月
单间 | 锦绣公寓 2室2厅1卫 男女不限,主卧(2室)                    25㎡,1500,元/月
整租 | 优质两房，豪华装修，家电齐全，拧包入住,2室1厅1卫                    76㎡,2100,元/月
单间 | 房间现代简约风格装修/干净清爽/品质公寓品牌保证 贴,主卧(3室)                    23㎡,1199,元/月
标题,房型,房租,房租单位,地址
整租 | 龙柏四季花园+地铁口三房+电梯8楼+自住装修+带租赁,3室2厅2卫                    120㎡,8000,元/月
整租 | 好消息公寓直租地铁6号线沿线！便宜实惠无！实拍照片,1室1厅1卫                    30㎡,1899,元/月
整租 | 陆家嘴紧邻 八佰伴 潍坊 世纪大道2469 上海大厦,2室1厅1卫                    60㎡,5200,元/月
单间 | 春申押一付一宜家装修送保洁WiFi地铁周边直租随时入,主卧(3室)                    26㎡,2475,元/月
单间 | 房东直租（金港花园别墅）单间，燃气做饭，拎包入住,次卧(1室)                    18㎡,1200,元/月
整租 | 高行1室一个有美、有艺术、有生活、唯独没有压力的居住,1室0厅1卫                    25㎡,1800,元/月
"整租 | 川沙城区 精装全配2房朝南,次出租,石皮路4楼 附图",2室1厅1卫                    68㎡,3100,元/月
整租 | 永和一村 近市北工业园 仅靠易初莲花超市 家具全配,1室1厅1卫                    45㎡,3900,元/月
整租 | 精装全配两房，紧邻地铁8/13号线，随时看房，拎包入,2室1厅1卫                    56㎡,3100,元/月
"单间 | 3号线附近，包水电，石墙小间,场中路口江杨南路55弄",次卧(4室以上)                    8㎡,850,元/月
单间 | 7号线刘行地铁房 3室1厅1卫 男女不限,主卧(3室)                    85㎡,1000,元/月
单间 | 嘉海雅苑(380弄) 2室1厅1卫 限夫妻,主卧(2室)                    18㎡,1200,元/月
单间 | 宜达新居(8000弄) 3室2厅2卫 男女不限,隔断(3室)                    12㎡,550,元/月
整租 | 紧缺房源 物业管理完善 环境优雅 绿化设施全 拎包入,2室1厅2卫                    52㎡,3100,元/月
单间 | 福赐花苑 押一付一 单身公寓 近D铁 三号 看房方便,主卧(2室)                    103㎡,2500,元/月
单间 | 园南一村 2室1厅1卫,主卧(2室)                    70㎡,1750,元/月
整租 | 文汇小区 1室1厅1卫,1室1厅1卫                    43㎡,2600,元/月
整租 | 微租公寓 租金1030元新出独厨独卫精装一室户 7号,1室0厅1卫                    15㎡,1030,元/月
整租 | 7号13号长寿路地铁口+小区干净卫生+朝南户型,1室1厅1卫                    40㎡,4800,元/月
整租 | 仙逸小区-南3门 1室0厅1卫,1室0厅1卫                    41㎡,3800,元/月
整租 | 张江镇上的一房，离金科路地铁和广兰路地铁都很近,1室1厅1卫                    37㎡,3200,元/月
整租 | 古宋小区 2室1厅1卫,2室1厅1卫                    70㎡,5800,元/月
单间 | 华川家园朝南房间采光好空间大，小区绿化好,(4室)                    16㎡,1000,元/月
整租 | 六荷苑小区 2室1厅1卫,2室1厅1卫                    63.89㎡,3800,元/月
整租 | 近地铁9号线，不仅可以带你看房，还可以带你打王zhe,1室1厅1卫                    46㎡,3400,元/月
单间 | 低价转租！ 单间 限女生，小情侣亦可,次卧(3室)                    130㎡,1500,元/月
单间 | 周末特价精品房 不收任何 可付一押一,主卧(1室)                    20㎡,1660,元/月
整租 | 青浦华新华纪路88弄凌家小区 1室0卫1厅,1室1厅0卫                    22㎡,1100,元/月
整租 | 整租 新出房源 天极盛宅花园 二室二厅一卫 家具家电,2室2厅1卫                    80㎡,2200,元/月
整租 | 徐泾新村二区 1室1卫1厅,1室1厅1卫                    20㎡,1200,元/月
整租 | 金沙丽晶苑 3室2厅1卫,3室2厅1卫                    127㎡,10000,元/月
单间 | 阳光西班牙 11号线真如站 高档小区 大空间 温馨舒,次卧(4室)                    16㎡,2222,元/月
整租 | 房子合适不合适 点进来看看就知道 不会让您失望！,2室1厅1卫                    63㎡,5800,元/月
整租 | 同进理想城 2室1厅2卫,2室1厅2卫                    110㎡,5000,元/月
整租 | 城市经典玉墅豪华装修，独特的风格，有内涵，临近地铁随,5室2厅3卫                    196㎡,25000,元/月
整租 | 华亭镇 2室1厅1卫,2室1厅1卫                    150㎡,1500,元/月
单间 | 房东直租精装朝南主卧包水电网燃气1300/月中介勿扰,主卧(3室)                    15㎡,1300,元/月
单间 | 个人转租非中介，印象苑 3室1厅1卫 限女生,次卧(3室)                    45㎡,1475,元/月
整租 | 十号线龙柏新村站精装修大一房随时看房随时入住欢迎致电,1室1厅1卫                    40㎡,3500,元/月
